"","team_id","team_name"
"722",351,"Wingate"
"723",500,"California Maritime"
"724",101,"Eureka Coll"
"725",2214,"Emporia St"
"726",487,"Bacone College"
"727",614,"Southern Poly"
"728",2194,"E TX Bapt"
"729",3135,"Maryland Bible Coll"
"730",2079,"Bridgewater VA"
"731",2365,"Mansfield"
"732",2706,"W. Virginia Tech"
"733",2592,"St. Andrews"
"734",11,"Colorado Mesa"
"735",2366,"Marian"
"736",2081,"Bryan"
"737",2129,"Cheyney"
"738",2516,"Randolph"
"739",2407,"MT St.-Billings"
"740",14,"Chico State"
"741",2732,"Wilmington DE"
"742",2834,"Sul Ross"
"743",2586,"SWBapt"
"744",205,"Pacific (OR)"
"745",2094,"Cal Lutheran"
"746",2202,"E Oregon"
"747",2258,"Guilford"
"748",2758,"Howard Payne"
"749",2906,"Trevecca"
"750",2525,"Rockhurst"
"751",2658,"TX A&M Kings"
"752",2383,"Merchant Marine"
"753",2058,"Bel Abbey"
"754",2496,"Piedmont"
"755",3131,"Grace Bible"
"756",310,"Maryville MO"
"757",2858,"California PA"
"758",533,"Hannibal-LaGrange Co"
"759",2857,"Caldwell "
"760",2312,"King  TN"
"761",2310,"Kentucky St"
"762",3160,"R. Morris-Spfld"
"763",3153,"Randolph"
"764",2137,"Clarkson"
"765",440,"Albertus Magnus"
"766",2061,"Berea College"
"767",2391,"Mich-Dearborn"
"768",2105,"CarsnNew"
"769",2201,"E New Mexico"
"770",2905,"Texas Dallas"
"771",2868,"Holy Names"
"772",2923,"Pomona P"
"773",2944,"Penn St-Behrend"
"774",2850,"Whittier"
"775",2886,"Northwood"
"776",433,"Westminster College "
"777",2930,"Willamette"
"778",2595,"St Francis (IL)"
"779",598,"Purdue University-No"
"780",2800,"Alma College"
"781",2871,"Kean"
"782",2233,"Franklin"
"783",2584,"S Oregon"
"784",409,"CncrdiWI"
"785",329,"Mt. St. Vincent"
"786",185,"Vassar"
"787",2442,"Coll NJ"
"788",2920,"Mobile"
"789",2522,"Roanoke"
"790",551,"NVU-Lyndon"
"791",2981,"Will Bapt"
"792",2054,"Barton"
"793",556,"Malone"
"794",2726,"Wilberforce"
"795",2085,"BuffSt"
"796",2455,"N Georgia"
"797",2042,"Augustana (IL)"
"798",2235,"Fresno Pacific"
"799",3156,"SUNY Cobleskill"
"800",467,"Salem"
"801",512,"Dakota St"
"802",3152,"Walla Walla"
"803",2231,"Fort Hays St"
"804",2444,"Newberry"
"805",3126,"Mid-America CU"
"806",2915,"Freed-Hardeman"
"807",2355,"Lynchburg"
"808",2591,"St Ambro"
"809",3092,"Davenport Univ"
"810",482,"University of the Sc"
"811",2902,"SUNY Fredonia"
"812",413,"Columbus State"
"813",2942,"MaryWash"
"814",3155,"Trinity Baptist"
"815",2370,"TN Southern"
"816",297,"Hampden"
"817",2679,"Voorhees"
"818",2273,"Hillsdale"
"819",2167,"Davis & Elkins"
"820",3149,"Farmingdale"
"821",2221,"FDU-Florham"
"822",2982,"Bethany (CA)"
"823",2500,"Point Loma"
"824",596,"Peru St"
"825",2654,"Truman St"
"826",2907,"Trinity Intl"
"827",2720,"Whitman"
"828",2292,"Indianapolis"
"829",552,"Madonna University"
"830",2470,"Nova SE"
"831",2990,"St Joseph's BKN"
"832",289,"Mt St Mary NY"
"833",2222,"Ferris St"
"834",2733,"Wilmington OH"
"835",2274,"Hiram"
"836",420,"Holy Family College"
"837",2071,"Blmsburg"
"838",22,"San Fran St"
"839",3151,"S. Western Col (AZ)"
"840",608,"Science & Arts"
"841",2151,"Concordia IL"
"842",418,"Hendrix"
"843",2610,"St Marys"
"844",2339,"Lincoln PA"
"845",352,"Kenyon"
"846",2438,"Nebraska-Kearney"
"847",3099,"Concordia (AL)"
"848",3174,"Trinity Baptist"
"849",445,"New York City Techni"
"850",2785,"Union"
"851",2374,"Marywood"
"852",2959,"Baruch College"
"853",3171,"Hiwassee"
"854",2023,"Anderson (IN)"
"855",3168,"Crowley's Ridge"
"856",2178,"Doane"
"857",613,"SD School of Mines"
"858",2602,"St Josephs (ME)"
"859",2175,"Dickinson PA"
"860",2508,"Puget Sound"
"861",508,"Cornerstone U"
"862",2419,"Mount St. Joseph"
"863",2689,"Washington Coll"
"864",538,"Houghton "
"865",2064,"Bethel (TN)"
"866",619,"Tabor College"
"867",2269,"HI Pacific"
"868",459,"Fontbonne"
"869",415,"George Fox"
"870",29,"Redlands"
"871",2749,"Worceste"
"872",2985,"Concordia (MI)"
"873",117,"St. Mary's MD"
"874",3165,"New Hope"
"875",2069,"Black Hills St"
"876",2220,"Fayetteville St"
"877",2088,"BYU Hawaii"
"878",3068,"Georgia Southwestern"
"879",3164,"Central Penn"
"880",2304,"JohnSmth"
"881",2322,"Lander"
"882",546,"Judson College"
"883",429,"Philadelphia Biblica"
"884",2256,"Greensboro"
"885",2022,"American Int'l"
"886",3158,"Our Lady"
"887",2100,"Card Stritch"
"888",199,"SE Okla St"
"889",2180,"Dowling"
"890",3069,"Indiana Tech"
"891",461,"Gwynedd-Mercy"
"892",555,"ME-Machias"
"893",2465,"Northwest (WA)"
"894",2144,"Colorado Coll"
"895",2141,"Coe College"
"896",3166,"Arl Baptist"
"897",422,"Neumann College"
"898",3163,"Roosevelt"
"899",2477,"Ohio Dominican"
"900",2053,"Barry"
"901",2249,"Glenville St"
"902",2045,"Austin"
"903",2371,"Mary Hardin-Bay"
"904",548,"LaGrange"
"905",477,"Lesley University"
"906",3159,"Coll Idaho"
"907",2476,"Oglethorpe"
"908",2271,"Henderson St"
"909",564,"Mid-Continent"
"910",3182,"CS San Marcos"
"911",603,"Saint Mary College"
"912",3196,"St. Joseph's-L.I."
"913",2015,"Albright"
"914",3186,"Oswego State"
"915",2109,"Cedarville"
"916",2892,"Rust"
"917",580,"Newman"
"918",263,"Loras College"
"919",536,"Hastings"
"920",3184,"Pacifica College"
"921",2486,"Pacific Lutheran"
"922",2894,"Sioux Fa"
"923",2601,"St. Joseph's (IN)"
"924",2976,"Wentworth"
"925",2846,"Wesley"
"926",317,"Marietta"
"927",3179,"Point"
"928",2589,"Spalding"
"929",3189,"Coastal Georgia"
"930",407,"Arcadia University"
"931",2877,"Lindsey Wilson"
"932",2384,"Mercy"
"933",2324,"Langston"
"934",594,"Pacific Union"
"935",224,"Westminster UT"
"936",2939,"Jamestow"
"937",2812,"Hope College"
"938",2207,"ElizCity"
"939",217,"Swarthmore"
"940",502,"Calumet College"
"941",489,"Barber Scotia"
"942",3169,"Joh. & Wales NC"
"943",2092,"CSU Dom Hills"
"944",3192,"IU-Kokomo"
"945",370,"Rutgers-Camden"
"946",2369,"Mars Hill"
"947",2150,"Concordia OR"
"948",3187,"Holy Cross IN"
"949",507,"Concordia (NE)"
"950",3183,"Penn State Abington"
"951",478,"Penn State Altoona"
"952",606,"St. Thomas (FL)"
"953",3185,"UC Merced"
"954",411,"Chapman"
"955",2237,"Ft Lewis"
"956",138,"NWMoSt"
"957",33,"Colby College"
"958",3229,"VU of Lynchburg"
"959",2422,"Muhlenbe"
"960",2986,"Fairmont"
"961",3106,"Corban U"
"962",3218,"Northwest Indian"
"963",2562,"Siena Heights"
"964",170,"CCNY"
"965",465,"Rosemont"
"966",2532,"Salisbury"
"967",2878,"Lubbock Christian"
"968",3217,"Portland Bible"
"969",597,"Presentation"
"970",2104,"Carroll (MT)"
"971",2652,"Trinity (IL)"
"972",2008,"AL-Huntsville"
"973",2218,"FaithBap"
"974",2518,"Regis Univ"
"975",2375,"Masters "
"976",354,"Olivet College"
"977",509,"Crown College"
"978",412,"E Nazarene"
"979",2196,"Eastern Univ."
"980",3216,"Cairn"
"981",3219,"Young Harris"
"982",89,"Wabash"
"983",2688,"Wash. & Lee"
