season,team_id,team_name,womens_team_tourney_flag
2008,250,UT Arlington,
2008,238,Vanderbilt,1
2008,222,Villanova,
2008,265,Washington St,
2008,277,West Virginia,1
2008,98,Western KY,1
2008,2737,Winthrop,
2008,275,Wisconsin,
2008,2752,Xavier,1
2009,2449,N Dakota St,
2009,153,North Carolina,1
2009,2460,Northern Iowa,
2009,194,Ohio State,1
2009,201,Oklahoma,1
2009,197,Oklahoma St,
2009,221,Pitt,1
2009,2502,Portland St,
2009,2509,Purdue,1
2009,2515,Radford,
2009,2523,Robert Morris,
2009,2617,SF Austin,
2009,2561,Siena,
2009,183,Syracuse,
2009,218,Temple,1
2009,2633,Tennessee,1
2009,251,Texas,1
2009,245,Texas A&M,1
2009,26,UCLA,
2009,41,UConn,1
2009,30,USC,
2009,254,Utah,1
2009,328,Utah State,
2009,2670,VCU,1
2009,222,Villanova,1
2009,154,Wake Forest,
2009,264,Washington,
2009,277,West Virginia,
2009,98,Western KY,
2009,275,Wisconsin,
2009,2752,Xavier,1
2010,2473,Oakland,
2010,195,Ohio,
2010,194,Ohio State,1
2010,197,Oklahoma St,1
2010,295,Old Dominion,
2010,221,Pitt,
2010,2509,Purdue,
2010,257,Richmond,
2010,2523,Robert Morris,
2010,2608,Saint Mary's,
2010,2534,Sam Houston,
2010,21,San Diego St,1
2010,2561,Siena,
2010,183,Syracuse,
2010,218,Temple,1
2010,2633,Tennessee,1
2010,251,Texas,1
2010,245,Texas A&M,1
2010,2540,UCSB,
2010,2439,UNLV,
2010,328,Utah State,
2010,2638,UTEP,
2010,238,Vanderbilt,1
2010,261,Vermont,1
2010,222,Villanova,
2010,154,Wake Forest,
2010,264,Washington,
2010,277,West Virginia,1
2010,2737,Winthrop,
2010,275,Wisconsin,1
2010,2747,Wofford,
2010,2752,Xavier,1
2011,213,Penn State,1
2011,221,Pitt,
2011,163,Princeton,1
2011,2509,Purdue,1
2011,257,Richmond,
2011,2612,Saint Peter's,
2011,21,San Diego St,
2011,2599,St John's,1
2011,183,Syracuse,
2011,218,Temple,1
2011,2633,Tennessee,1
2011,251,Texas,1
2011,245,Texas A&M,1
2011,5,UAB,
2011,26,UCLA,1
2011,41,UConn,1
2011,2540,UCSB,
2011,2427,UNC Asheville,
2011,2439,UNLV,
2011,30,USC,
2011,328,Utah State,
2011,2636,UTSA,
2011,238,Vanderbilt,1
2011,2670,VCU,
2011,222,Villanova,
2011,264,Washington,
2011,277,West Virginia,1
2011,275,Wisconsin,
2011,2747,Wofford,
2011,2752,Xavier,1
2012,167,New Mexico,
2012,166,New Mexico St,
2012,2450,Norfolk St,
2012,153,North Carolina,
2012,87,Notre Dame,1
2012,195,Ohio,
2012,194,Ohio State,1
2012,2509,Purdue,1
2012,2571,S Dakota St,1
2012,139,Saint Louis,
2012,2608,Saint Mary's,
2012,21,San Diego St,1
2012,58,South Florida,
2012,2572,Southern Miss,
2012,179,St Bonaventure,1
2012,183,Syracuse,
2012,218,Temple,
2012,251,Texas,1
2012,41,UConn,1
2012,2427,UNC Asheville,
2012,2439,UNLV,
2012,238,Vanderbilt,1
2012,2670,VCU,
2012,261,Vermont,
2012,258,Virginia,
2012,277,West Virginia,1
2012,98,Western KY,
2012,2724,Wichita St,
2012,275,Wisconsin,
2012,2752,Xavier,
2013,2393,MTSU,1
