"","season","team_id","team_name"
"414",2019,66,"Iowa State"
"415",2019,2670,"VCU"
"416",2019,344,"Mississippi St"
"417",2019,328,"Utah State"
"418",2019,275,"Wisconsin"
"419",2019,2084,"Buffalo"
"420",2019,2306,"Kansas St"
"421",2019,145,"Ole Miss"
"422",2019,2132,"Cincinnati"
"423",2019,183,"Syracuse"
"424",2019,2747,"Wofford"
"425",2019,222,"Villanova"
"426",2019,2440,"Nevada"
"427",2019,269,"Marquette"
"428",2019,120,"Maryland"
"429",2019,2,"Auburn"
"430",2019,97,"Louisville"
"431",2019,9,"Arizona St"
"432",2019,2449,"N Dakota St"
"433",2019,2057,"Belmont"
"434",2019,2504,"Prairie View"
"435",2021,2250,"Gonzaga"
"436",2021,239,"Baylor"
"437",2021,130,"Michigan"
"438",2021,248,"Houston"
"439",2021,30,"USC"
"440",2021,333,"Alabama"
"441",2021,8,"Arkansas"
"442",2021,2350,"Loyola Chicago"
"443",2021,2305,"Kansas"
"444",2021,52,"Florida St"
"445",2021,156,"Creighton"
"446",2021,26,"UCLA"
"447",2021,2294,"Iowa"
"448",2021,197,"Oklahoma St"
"449",2021,222,"Villanova"
"450",2021,57,"Florida"
"451",2021,277,"West Virginia"
"452",2021,356,"Illinois"
"453",2021,251,"Texas"
"454",2021,252,"BYU"
"455",2021,201,"Oklahoma"
"456",2021,258,"Virginia"
"457",2021,41,"UConn"
"458",2021,99,"LSU"
"459",2021,38,"Colorado"
"460",2021,21,"San Diego St"
"461",2021,228,"Clemson"
"462",2021,2509,"Purdue"
"463",2021,153,"North Carolina"
"464",2021,2633,"Tennessee"
"465",2021,194,"Ohio State"
"466",2021,2641,"Texas Tech"
"467",2021,127,"Michigan St"
"468",2021,2450,"Norfolk St"
"469",2021,2724,"Wichita St"
"470",2021,116,"Mount St Mary"
"471",2022,2305,"Kansas"
"472",2022,150,"Duke"
"473",2022,153,"North Carolina"
"474",2022,222,"Villanova"
"475",2022,2390,"Miami"
"476",2022,26,"UCLA"
"477",2022,2509,"Purdue"
"478",2022,12,"Arizona"
"479",2022,2250,"Gonzaga"
"480",2022,2,"Auburn"
"481",2022,2641,"Texas Tech"
"482",2022,275,"Wisconsin"
"483",2022,356,"Illinois"
"484",2022,8,"Arkansas"
"485",2022,93,"Murray St"
"486",2022,2507,"Providence"
"487",2022,2633,"Tennessee"
"488",2022,239,"Baylor"
"489",2022,2550,"Seton Hall"
"490",2022,248,"Houston"
"491",2022,127,"Michigan St"
"492",2022,99,"LSU"
"493",2022,251,"Texas"
"494",2022,333,"Alabama"
"495",2022,30,"USC"
"496",2022,194,"Ohio State"
"497",2022,21,"San Diego St"
"498",2022,2608,"Saint Mary's"
"499",2022,96,"Kentucky"
"500",2022,41,"UConn"
"501",2022,2294,"Iowa"
"502",2022,68,"Boise St"
"503",2022,36,"Colorado St"
"504",2022,164,"Rutgers"
"505",2022,2750,"Wright St"
"506",2022,2751,"Wyoming"
"507",2022,2640,"Texas Southern"
"508",2023,41,"UConn"
"509",2023,21,"San Diego St"
"510",2023,251,"Texas"
"511",2023,2250,"Gonzaga"
"512",2023,2306,"Kansas St"
"513",2023,156,"Creighton"
"514",2023,248,"Houston"
"515",2023,333,"Alabama"
"516",2023,26,"UCLA"
"517",2023,2633,"Tennessee"
"518",2023,84,"Indiana"
"519",2023,2226,"FAU"
"520",2023,239,"Baylor"
"521",2023,269,"Marquette"
"522",2023,2752,"Xavier"
"523",2023,142,"Missouri"
"524",2023,2305,"Kansas"
"525",2023,2628,"TCU"
"526",2023,235,"Memphis"
"527",2023,2390,"Miami"
"528",2023,96,"Kentucky"
"529",2023,2509,"Purdue"
"530",2023,66,"Iowa State"
"531",2023,2608,"Saint Mary's"
"532",2023,127,"Michigan St"
"533",2023,245,"Texas A&M"
"534",2023,77,"Northwestern"
